Localitate,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie
Vultureni,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Oras Balan,37.0,0.0,0.0,0.0,0.0,0.0,54.0
Almas,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Criseni,78.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodna,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Oras Borsec,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Petrestii De Jos,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Romuli,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Horodniceni,0.0,0.0,0.0,0.0,49.0,0.0,15.0
Giarmata,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Oras Cristuru Secuiesc,41.0,0.0,0.0,0.0,34.0,0.0,13.0
Apateu,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Oras Beresti,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Farcasa,0.0,0.0,0.0,0.0,0.0,8.0,2.0
Ciorani,0.0,0.0,0.0,0.0,5.0,2.0,0.0
Giera,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Municipiul Resita,525.0,0.0,3.0,0.0,0.0,0.0,358.0
Archis,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Municipiul Gheorgheni,162.0,0.0,1.0,0.0,0.0,0.0,143.0
Poiana Lacului,0.0,0.0,0.0,0.0,0.0,8.0,128.0
Ploscos,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Cocorastii Mislii,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Horodnic De Jos,176.0,0.0,0.0,0.0,25.0,0.0,0.0
Giulesti,0.0,0.0,0.0,0.0,12.0,0.0,18.0
Valea Seaca,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Giulvaz,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Iacobeni,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Vata De Jos,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Dobrin,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Oras Cugir,1156.0,0.0,0.0,0.0,0.0,0.0,13.0
Poieni,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Cucerdea,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Ieud,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Zemes,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Municipiul Toplita,15.0,0.0,0.0,0.0,0.0,0.0,21.0
Stefanesti,0.0,0.0,0.0,0.0,0.0,34.0,0.0
Darmanesti,0.0,0.0,0.0,0.0,0.0,22.0,0.0
Municipiul Braila,216.0,0.0,80.0,0.0,88.0,60.0,876.0
Cornu,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Oras Anina,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Sarata,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Chiscani,0.0,0.0,0.0,0.0,0.0,4.0,77.0
Tamaseni,0.0,0.0,0.0,0.0,0.0,0.0,52.0
Susani,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Oras Liteni,0.0,0.0,0.0,0.0,2.0,6.0,0.0
Timisesti,3.0,0.0,0.0,0.0,0.0,1.0,0.0
Vanatori,0.0,0.0,0.0,0.0,0.0,22.0,0.0
Barcea,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Dragodana,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Oras Faurei,0.0,0.0,0.0,0.0,1.0,0.0,6.0
Oras Ocna Mures,2.0,0.0,0.0,0.0,0.0,53.0,61.0
Birchis,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Oras Bocsa,155.0,0.0,0.0,0.0,0.0,0.0,20.0
Oras Vlahita,0.0,0.0,0.0,0.0,3.0,0.0,19.0
Marginea,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Trifesti,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Liebling,65.0,0.0,0.0,0.0,0.0,14.0,0.0
Moisei,0.0,0.0,0.0,1.0,0.0,0.0,17.0
Municipiul Caransebes,7.0,0.0,0.0,0.0,0.0,0.0,54.0
Malini,0.0,0.0,0.0,0.0,9.0,0.0,1.0
Atid,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Galgau,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Municipiul Sebes,2.0,0.0,3.0,0.0,470.0,0.0,76.0
Lovrin,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tomsani,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Oras Moldova Noua,8.0,0.0,0.0,0.0,0.0,0.0,27.0
Ocna Sugatag,17.0,0.0,0.0,0.0,8.0,0.0,0.0
Sieu-Magherus,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Avramesti,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oras Zlatna,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Sacuieu,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Draganesti,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Moara,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Petrova,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ernei,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Oras Oravita,3.0,0.0,0.0,0.0,41.0,0.0,52.0
Urecheni,0.0,0.0,0.0,0.0,25.0,0.0,0.0
Poienile De Sub Munte,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Savadisla,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Municipiul Oradea,368.0,0.0,0.0,3.0,2.0,14.0,881.0
Vaideeni,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Draguseni,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sanmartin,0.0,0.0,0.0,2.0,2.0,0.0,47.0
Harmanesti,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Recea,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Rachiteni,228.0,0.0,0.0,0.0,0.0,0.0,0.0
Masloc,0.0,0.0,0.0,0.0,12.0,0.0,0.0
Faragau,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Valea Lupului,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Oras Otelu Rosu,2.0,0.0,0.0,0.0,0.0,0.0,72.0
Gura Ocnitei,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ciresu,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Ciucsangeorgiu,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Zam,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sic,0.0,0.0,0.0,0.0,0.0,1.0,17.0
Santandrei,0.0,0.0,0.0,0.0,0.0,7.0,11.0
Moldovita,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Sieut,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Filipestii De Padure,1095.0,0.0,146.0,0.0,0.0,0.0,11.0
Buteni,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Fantanele,0.0,66.0,0.0,0.0,0.0,0.0,0.0
Hereclean,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Oras Alesd,6.0,0.0,8.0,0.0,0.0,0.0,44.0
Vladesti,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Sintereag,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Rona De Sus,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Hulubesti,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Filipestii De Targ,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Rucar,30.0,0.0,0.0,0.0,0.0,1.0,9.0
Bania,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Astileu,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Rozavlea,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Galesti,0.0,0.0,0.0,0.0,0.0,0.0,29.0
Hida,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Mosnita Noua,2.0,0.0,0.0,0.0,0.0,0.0,47.0
Voicesti,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Sapata,0.0,0.0,0.0,0.0,0.0,0.0,14.0
I. L. Caragiale,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Ruscova,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Fantanele,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Municipiul Giurgiu,0.0,0.0,0.0,15.0,80.0,3.0,102.0
Teaca,0.0,0.0,0.0,0.0,94.0,0.0,0.0
Satulung,0.0,0.0,0.0,0.0,13.0,0.0,0.0
Galbenu,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Voineasa,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Corod,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Municipiul Beius,0.0,0.0,1.0,0.0,0.0,0.0,25.0
Corbu,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Lucieni,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Sanpaul,0.0,0.0,0.0,0.0,1.0,0.0,5.0
Valeni,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Ganesti,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Corund,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Floresti,0.0,0.0,0.0,0.0,0.0,1.0,2.0
