Locality,Shannon-Weaver entropy
Hanesti,0.0
Hiliseu-Horia,0.0
Hlipiceni,0.09401527997954578
Hudesti,0.0
Ibanesti,0.0
Leorda,0.0
Lunca,0.0
Manoleasa,0.0
Mihai Eminescu,0.019251549354426137
Mihaileni,0.7256226239755881
Mihalaseni,0.0
Mileanca,0.0
Mitoc,0.0
Nicseni,0.02713995635285986
Paltinis,0.0
Pomarla,0.020102458790577156
Prajeni,0.0
Radauti-Prut,0.010682900874850956
Rauseni,0.04607958061309516
Ripiceni,0.0
Roma,0.013994079136600276
Romanesti,0.0
Santa Mare,0.0
Suharau,0.012018590507100503
Sulita,0.10553320290555555
Sendriceni,0.0
Oras Stefanesti,0.4491891094040492
Stiubieni,0.0
Todireni,0.10759147012489667
Trusesti,0.12815800369526334
Tudora,0.0
Ungureni,0.0
Unteni,0.012554960477583078
Vaculesti,0.0
Viisoara,0.0
Varfu Campului,0.0
Vladeni,0.0
Vlasinesti,0.0
Vorniceni,0.0
Vorona,0.0
Lozna,0.0
Dimacheni,0.0
Candesti,0.6423024200264575
Cosula,0.7452167567440651
Blandesti,0.0
Adaseni,0.0
Municipiul Brasov,0.4828546096517148
Oras Ghimbav,0.37585579094993565
Municipiul Codlea,0.5993888409186506
Municipiul Fagaras,0.5305187205551462
Oras Predeal,0.1898849075139608
Oras Rasnov,0.3135583529254068
Oras Rupea,1.1738579895779455
Municipiul Sacele,0.9044109379272205
Oras Victoria,0.126334333968502
Oras Zarnesti,0.30782799394782334
Apata,1.4965900696289909
Beclean,0.6020042981560829
Bod,0.5623955438191527
Bran,0.05564102895353942
Budila,0.9639462736529063
Bunesti,1.2535730134556176
Cata,1.5743401387241254
Cincu,0.9281891242149871
Comana,0.717684234699804
Cristian,0.30070166548304544
Dumbravita,0.2579683200109487
Feldioara,0.6541179637527998
Fundata,0.0
Halchiu,1.0205879185621551
Harman,0.5464025731361981
Harseni,0.28503723488229027
Hoghiz,1.0753588303700683
Homorod,1.5546865036398623
Jibert,1.317084339729584
Lisa,0.40693193424973906
Maierus,1.2002890719907682
Mandra,0.23866645778173923
Moieciu,0.015215969755516074
Ormenis,1.5136488559215266
Parau,0.4321631647676522
Poiana Marului,0.0
Prejmer,0.5499259411258614
Racos,1.4515688388488244
Recea,0.26487814771496454
Sercaia,0.7966201165352139
Sinca,0.25888640594078904
Sanpetru,0.47381691219221744
Soars,0.7834095512316241
Tarlungeni,1.5789061652046774
Teliu,1.3499762723232367
Ticusu,1.2193079816347148
Ucea,0.11911602665564835
Ungra,0.6179794764604208
Vama Buzaului,0.21350199450038793
Vistea,0.5391804608279569
Voila,0.45018040194092784
Vulcan,0.43892041461252407
Sinca Noua,0.019192207167231305
Crizbav,0.7380071209897378
Sambata De Sus,0.21030404308799366
Holbav,0.0
Dragus,0.0
Augustin,1.1252977217266071
Municipiul Braila,0.23045432132507693
Chiscani,0.2276407448157951
Oras Faurei,0.4563001086861871
Surdila-Greci,0.0
Baraganul,0.25172990494156194
Bertestii De Jos,0.5428066228179947
Bordei Verde,0.0300675587701809
Ciocile,0.15293801139558005
