Ani,NumeJudet,0
2007,Iasi,494225.08592823223
2007,Ilfov,36435.87056007499
2007,Maramures,108486.09326619898
2007,Mehedinti,116428.53855884181
2007,Municipiul Bucuresti,3732434.0
2007,Mures,180856.2669358788
2007,Neamt,90088.3491376813
2007,Olt,56219.84049471318
2007,Prahova,184506.26184902876
2007,Salaj,38088.07325537936
2007,Satu Mare,117248.45047451326
2007,Sibiu,311822.5249363773
2007,Suceava,110518.94041874613
2007,Teleorman,17324.553370549256
2007,Timis,562034.5053668083
2007,Tulcea,149627.42711119918
2007,Valcea,179436.6269208423
2007,Vaslui,39604.70662451896
2007,Vrancea,57899.13111810349
2008,Alba,51653.57218535661
2008,Arad,224569.39716744365
2008,Arges,170837.94179416646
2008,Bacau,96364.83248027386
2008,Bihor,202061.21341236355
2008,Bistrita-Nasaud,123892.8648283609
2008,Botosani,61313.14696567867
2008,Braila,550934.9312267322
2008,Brasov,681832.6925450689
2008,Buzau,70639.1518839274
2008,Calarasi,63005.201325970374
2008,Caras-Severin,68792.49519046524
2008,Cluj,499948.5248019476
2008,Constanta,2379746.362935298
2008,Covasna,96412.10302590861
2008,Dambovita,80887.80367188723
2008,Dolj,252314.45412232616
2008,Galati,282782.0
2008,Giurgiu,105558.12586459033
2008,Gorj,93302.37170570476
2008,Harghita,39975.493731532486
2008,Hunedoara,42944.546607263204
2008,Ialomita,54619.455634210084
2008,Iasi,494759.6126243284
2008,Ilfov,46091.481001640386
2008,Maramures,101610.10577976688
2008,Mehedinti,132296.65300795666
2008,Municipiul Bucuresti,4024346.0
2008,Mures,161327.09935369217
2008,Neamt,82885.28457856223
2008,Olt,40743.50655111033
2008,Prahova,181773.7789074506
2008,Salaj,38684.90825991778
2008,Satu Mare,121778.6836219548
2008,Sibiu,240611.01048058618
2008,Suceava,117084.96937634164
2008,Teleorman,22494.46773809615
2008,Timis,574822.1238362894
2008,Tulcea,124430.40009137288
2008,Valcea,201021.27208004976
2008,Vaslui,41308.79461242441
2008,Vrancea,61571.099314037674
2009,Alba,30840.23008971053
2009,Arad,204744.4873554537
2009,Arges,88217.70054064337
2009,Bacau,77776.5761727828
2009,Bihor,186170.25850588598
2009,Bistrita-Nasaud,92291.95058004004
2009,Botosani,56991.08325600608
2009,Braila,379091.127778581
2009,Brasov,520602.008637768
2009,Buzau,56491.6344468824
2009,Calarasi,28742.35883241843
2009,Caras-Severin,68279.466103116
2009,Cluj,342379.3425578781
2009,Constanta,2084365.9559240288
2009,Covasna,76638.32296709708
2009,Dambovita,62426.43563608909
2009,Dolj,121132.48460680306
2009,Galati,197772.0
2009,Giurgiu,115692.06652351568
2009,Gorj,73455.08915184798
2009,Harghita,35961.96411082384
2009,Hunedoara,36203.49389352187
2009,Ialomita,47244.73668535763
2009,Iasi,426882.11130158446
2009,Ilfov,29262.43081918918
2009,Maramures,94539.0698597597
2009,Mehedinti,116248.6263875051
2009,Municipiul Bucuresti,3420936.0
2009,Mures,146125.76887923063
